varID,var5_6a,var5_6,var5_7,var5_8,var5_9,var5_10,var5_10a,var5_11,var5_12,var5_13,var5_14,var5_15,var5_16,var5_17,var5_18,var5_19,var5_20,var5_21
3701010212,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010101,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010102,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010103,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010104,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010105,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010106,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010107,a21,25,6,2,25,"1,2,4",,1,500,是,20,10000,否,,.,否,.,.
3701010108,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010109,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010110,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010111,,.,.,.,.,,,,,,.,,,,.,,.,.
3701010112,,.,.,.,.,,,,,,.,,,,.,,.,.
3704020101,a1,1.5,1.5,1,1.5,3,,0.1,500,否,0,750,是,3,1.5,否,.,.
3704020101,a2,1.5,1.5,1,1.5,3,,0.1,500,否,0,750,是,3,1.5,否,.,.
3704020101,b18、姜,5,5,1,5,,,0.1,4000,否,0,20000,否,,.,否,.,.
3704020102,a1,1.6,1.6,1,1.6,2,,0.2,500,否,0,800,是,4.8,1.6,否,.,.
3704020102,a21,1.6,1.6,1,1.6,2,,0.2,500,否,0,800,是,4.8,1.6,否,.,.
3704020103,,.,.,.,.,,,,,,.,,,,.,,.,.
3704020104,a1,2,2,1,2,1,,1,450,是,10,900,是,3,2,否,.,.
3704020104,a21,2,2,1,2,1,,1,400,是,20,800,是,3,2,否,.,.
3704020104,b18、姜,5,0,2,5,1,,25,2500,否,0,12500,否,,.,,.,.
3704020105,,.,.,.,.,,,,,,.,,,,.,,.,.
3704020106,c35、姜,4,4,1,4,2,,0.05,400,否,0,1600,否,,.,,.,.
3704020107,,.,.,.,.,,,,,,.,,,,.,,.,.
3704020108,,.,.,.,.,,,,,,.,,,,.,,.,.
3704020109,,.,.,.,.,,,,,,.,,,,.,,.,.
3704020110,,.,.,.,.,,,,,,.,,,,.,,.,.
3704020111,,.,.,.,.,,,,,,.,,,,.,,.,.
3704020112,a1,2,2,1,2,2,,0.3,600,否,0,1200,是,3,2,否,.,.
3704020112,a21,2,2,1,2,2,,0.3,600,否,0,1200,是,3,2,否,.,.
3704020113,,.,.,.,.,,,,,,.,,,,.,,.,.
3704020201,a1,4,4,1,4,2,,0.2,500,是,25,2000,是,4,4,否,.,.
3704020201,a22,4,4,1,4,2,,0.2,500,否,0,2000,是,4,4,否,.,.
3704020202,a1,4,4,2,4,2,,0.5,550,否,0,2200,否,,.,,.,.
3704020202,a21,4,4,2,4,2,,0.5,550,否,0,2200,是,3.6,4,,.,.
3704020202,b18、姜,2.6,2.6,1,2.6,2,,1.3,,否,0,10400,否,,.,,.,.
3704020203,a1,5,5,2,5,1,,0.05,400,是,30,2000,否,,.,,.,.
3704020203,a21,5,5,2,5,1,,0.05,450,否,0,2250,是,3,5,否,.,.
3704020203,b18、姜,10,0,3,10,1,,5,4500,否,0,45000,否,,.,,.,.
3704020204,a1,9.3,9.3,3,9.3,2,,2,500,否,0,4650,否,,.,否,.,.
3704020204,a21,9.3,9.3,3,9.3,2,,2,500,否,0,4650,否,,.,否,.,.
3704020205,a1,4,4,2,4,2,,0.5,500,否,0,2000,是,3.6,4,否,.,.
3704020205,a21,4,4,2,4,2,,0.5,600,否,0,2400,是,3.6,4,否,.,.
3704020206,a1,4.3,4.3,2,4.3,2,,1.5,650,否,0,2795,是,9999,4.3,否,.,.
3704020206,a21,4.3,4.3,2,4.3,2,,1.5,550,否,0,2356,是,9999,4.3,否,.,.
3704020206,b18、大姜,9,9,2,9,2,,0.3,5500,否,0,49500,否,,.,否,.,.
3704020207,a1,5,5,1,5,2,,0.5,600,否,0,3000,是,2,5,,.,.
3704020207,a21,5,5,1,5,2,,0.5,650,否,0,3150,是,2,5,,.,.
3704020207,a12,3,0,1,3,2,,0.5,3000,否,0,9000,否,,.,,.,.
3704020207,b18、姜,2,2,1,2,2,,0.5,5000,否,0,10000,否,,.,,.,.
3704020207,,.,.,.,.,,,,,,.,,,,.,,.,.
3704020208,a1,9,9,3,9,3,,0.5,650,否,0,5850,是,3,9,否,.,.
3704020208,a21,9,9,3,9,3,,0.5,650,否,0,5850,是,3,9,否,.,.
3704020209,a1,6,6,2,9,2,,0.5,600,否,0,3600,是,3,6,否,.,.
3704020209,a21,6,6,2,9,2,,0.5,700,否,0,4200,是,3,6,否,.,.
3704020209,b18、生姜,3,2,1,9,2,,0.5,500,否,0,1500,否,,.,,.,.
3704020210,a1,5,5,3,5,3,,0.5,450,否,0,2250,否,,.,,.,.
3704020210,a21,5,5,3,5,3,,0.5,500,否,0,2500,否,,.,,.,.
3704020210,b18、姜,4,4,4,4,3,,0.5,2500,否,0,14000,否,,.,,.,.
3704020211,a1,5,5,2,5,3,,1,500,否,0,2500,是,9999,5,否,.,.
3704020211,a21,5,5,2,5,3,,1,500,否,0,2500,是,3,5,否,.,.
3704020211,b18、姜,7,0,1,7,3,,1,3000,否,0,28000,是,3,7,是,90,9999
3704020212,b18、姜,5,5,3,3,3,,1,4500,否,0,22500,否,,.,,.,.
3704010201,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010202,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010203,,.,.,.,.,,,,,,.,,,,.,,.,.
3704010204,a1,3.6,3.6,3,3.6,1,,2,400,否,0,1440,是,10,3.6,否,.,.
