varID,cluster,cluster_label
3304030206,0,1
3304030207,0,1
3304030208,0,1
3304030209,0,1
3304030210,0,1
3304030211,0,1
3304030212,0,1
3305010101,0,1
3305010102,0,1
3305010103,0,1
3305010104,0,1
3305010105,0,1
3305010106,0,1
3305010107,0,1
3305010108,2,3
3305010109,0,1
3305010110,0,1
3305010111,0,1
3305010112,0,1
3305010113,0,1
3305010114,0,1
3305010201,0,1
3305010202,0,1
3305010203,0,1
3305010204,0,1
3305010205,0,1
3305010206,0,1
3305010207,0,1
3305010208,0,1
3305010209,0,1
3305010210,0,1
3305010211,0,1
3305010212,0,1
3305010213,0,1
3305020101,0,1
3305020102,0,1
3305020103,0,1
3305020104,0,1
3305020105,0,1
3305020106,0,1
3305020107,0,1
3305020108,0,1
3305020109,0,1
3305020110,0,1
3305020111,0,1
3305020112,0,1
3305020201,0,1
3305020202,0,1
3305020203,0,1
3305020204,0,1
3305020205,0,1
3305020206,0,1
3305020207,0,1
3305020208,0,1
3305020209,0,1
3305020210,0,1
3305020211,0,1
3305020212,0,1
3305020213,0,1
3305030101,0,1
3305030102,0,1
3305030103,0,1
3305030104,0,1
3305030105,0,1
3305030106,0,1
3305030107,0,1
3305030108,0,1
3305030109,0,1
3305030110,0,1
3305030111,0,1
3305030112,0,1
3305030113,0,1
3305040101,0,1
3305040102,0,1
3305040103,0,1
3305040104,0,1
3305040105,0,1
3305040106,0,1
3305040107,0,1
3305040108,0,1
3305040109,0,1
3305040110,0,1
3305040111,0,1
3305040112,0,1
3401010101,0,1
3401010102,1,2
3401010103,0,1
3401010105,0,1
3401010106,0,1
3401010107,0,1
3401010108,0,1
3401010109,2,3
3401010110,0,1
3401010111,0,1
3401010112,0,1
3401010201,0,1
3401010202,0,1
3401010203,0,1
3401010204,0,1
3401010205,0,1
3401010206,0,1
3401010207,1,2
3401010208,0,1
3401010209,0,1
3401010210,0,1
3401010211,0,1
3401010212,0,1
3401020101,0,1
3401020102,2,3
3401020103,2,3
3401020104,2,3
